 r,pw,pg,C,sg,R^2/t
2481.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,684.25988888888890
2636.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,772.40666666666664
2798.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,870.24027777777781
2967.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,978.51666666666665
3143.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1098.0246666666667
3326.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1229.5853333333334
3516.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1374.0528888888889
3721.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1538.9230000000000
3941.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1726.2456666666667
4176.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1938.2208888888888
4426.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,2177.1986666666667
4691.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,2445.6791111111111
4971.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,2746.3119999999999
5266.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,3081.8973333333333
5576.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,3455.3853333333332
5901.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,3869.8760000000002
6241.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,4328.6191111111111
6596.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,4835.0146666666669
6966.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,5392.6128888888888
